num,module,op,requires,B_mutiplier,C,H_I,W_I,K,H_O,W_O,T_I,T_O,kH,kW,kT,dH,dW,dT,dilationH,dilationW,dilationT,padH,padW,padT,groups,InputMinVal,InputMaxVal,InputMeanVal,InputStdVal,OutputMinVal,OutputMaxVal,OutputMeanVal,OutputStdVal,KernelMinVal,KernelMaxVal,KernelMeanVal,KernelStdVal,BiasMinVal,BiasMaxVal,BiasMeanVal,BiasStdVal,AddBias,isFilter,DimBHW,DimCFilterSquare,DimK,B,InputSize,OutputSize,Weights,Biases,Params,MACs,RATIO_MACs_TOTALMACs,MEM,RATIO_COMPUTE_MEM,SI_NumAccumSess,SI_ActualCompute,SI_CompUtil,SI_ClocksToComputeAccumSess,SI_ClocksToBringNewChunkOfB,SI_MMEClocksPerAccSession,SI_TotalMMEClocks,SI_LayerUtil,SI_IP_OP_diff,NumFullUOWH,NumPartialUOWH,HeightOfPartialUOW,NumUOWH,NumUOWW,ActualMACs,ComputeUtilization,ClocksToComputeUOW,ClocksToDumpFullUOW,ClocksToDumpPartialUOW,TotalMMEClocks,LayerUtil,IdealClocksNoSparsity,FilterClocks,PoolingOps,BatchNormOps,StochasticOps,NonLinearOps,AddOps
87,middle.3.m.4.conv2,ConvNd,"middle.3.m.4.conv1.Filter, middle.3.m.4.conv2.Parameter",1,728,19,19,728,19,19,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.01460202,0.014695518,-7.02905E-05,0.007163377,-0.013577963,0.013948535,0.000180615,0.004004213,-0.037062306,0.037062459,7.45423E-06,0.021397237,0,0,0,0,0,0,1444,728,728,4,1051232,1051232,529984,0,529984,765296896,2.70%,2632448,290.7168142,54,905969664,84.47%,256,256,256,13824,84.47%,-4.64%,5,1,164,6,3,858783744,89.11%,728,256,164,13104,89.11%,11677.50391,0,0,0,0,0,0
91,middle.3.m.7.conv2,ConvNd,"middle.3.m.7.conv1.Filter, middle.3.m.7.conv2.Parameter",1,728,19,19,728,19,19,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.014847729,0.017014561,-0.000137925,0.007246255,-0.016329926,0.013659832,-5.20576E-05,0.004528108,-0.037062403,0.037061807,2.63754E-06,0.021412331,0,0,0,0,0,0,1444,728,728,4,1051232,1051232,529984,0,529984,765296896,2.70%,2632448,290.7168142,54,905969664,84.47%,256,256,256,13824,84.47%,-4.64%,5,1,164,6,3,858783744,89.11%,728,256,164,13104,89.11%,11677.50391,0,0,0,0,0,0
96,middle.4.m.1.conv2,ConvNd,"middle.4.m.1.conv1.Filter, middle.4.m.1.conv2.Parameter",1,728,19,19,728,19,19,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.017325401,0.019311834,0.000233591,0.007162753,-0.015047044,0.014234507,8.96447E-06,0.004043303,-0.037062459,0.037062444,-2.85606E-05,0.021408355,0,0,0,0,0,0,1444,728,728,4,1051232,1051232,529984,0,529984,765296896,2.70%,2632448,290.7168142,54,905969664,84.47%,256,256,256,13824,84.47%,-4.64%,5,1,164,6,3,858783744,89.11%,728,256,164,13104,89.11%,11677.50391,0,0,0,0,0,0
100,middle.4.m.4.conv2,ConvNd,"middle.4.m.4.conv1.Filter, middle.4.m.4.conv2.Parameter",1,728,19,19,728,19,19,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.0228556,0.021191165,-0.000106324,0.006970172,-0.014217886,0.013411159,-0.000147924,0.004048672,-0.037062336,0.03706231,-1.93521E-05,0.021418053,0,0,0,0,0,0,1444,728,728,4,1051232,1051232,529984,0,529984,765296896,2.70%,2632448,290.7168142,54,905969664,84.47%,256,256,256,13824,84.47%,-4.64%,5,1,164,6,3,858783744,89.11%,728,256,164,13104,89.11%,11677.50391,0,0,0,0,0,0
104,middle.4.m.7.conv2,ConvNd,"middle.4.m.7.conv1.Filter, middle.4.m.7.conv2.Parameter",1,728,19,19,728,19,19,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.020000549,0.024961228,-0.000300232,0.007225845,-0.017019939,0.016296465,6.88094E-05,0.004410563,-0.037062384,0.037062392,-5.3027E-07,0.021394638,0,0,0,0,0,0,1444,728,728,4,1051232,1051232,529984,0,529984,765296896,2.70%,2632448,290.7168142,54,905969664,84.47%,256,256,256,13824,84.47%,-4.64%,5,1,164,6,3,858783744,89.11%,728,256,164,13104,89.11%,11677.50391,0,0,0,0,0,0
109,middle.5.m.1.conv2,ConvNd,"middle.5.m.1.conv1.Filter, middle.5.m.1.conv2.Parameter",1,728,19,19,728,19,19,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.024580611,0.030022383,-6.35701E-05,0.007110692,-0.014548259,0.017513834,0.000266208,0.003935684,-0.03706244,0.037062362,-1.1362E-06,0.021420369,0,0,0,0,0,0,1444,728,728,4,1051232,1051232,529984,0,529984,765296896,2.70%,2632448,290.7168142,54,905969664,84.47%,256,256,256,13824,84.47%,-4.64%,5,1,164,6,3,858783744,89.11%,728,256,164,13104,89.11%,11677.50391,0,0,0,0,0,0
113,middle.5.m.4.conv2,ConvNd,"middle.5.m.4.conv1.Filter, middle.5.m.4.conv2.Parameter",1,728,19,19,728,19,19,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.04383827,0.031427845,6.20963E-05,0.007473158,-0.018081633,0.019651763,4.51565E-05,0.004346633,-0.037061844,0.037062116,3.27191E-05,0.021414901,0,0,0,0,0,0,1444,728,728,4,1051232,1051232,529984,0,529984,765296896,2.70%,2632448,290.7168142,54,905969664,84.47%,256,256,256,13824,84.47%,-4.64%,5,1,164,6,3,858783744,89.11%,728,256,164,13104,89.11%,11677.50391,0,0,0,0,0,0
117,middle.5.m.7.conv2,ConvNd,"middle.5.m.7.conv1.Filter, middle.5.m.7.conv2.Parameter",1,728,19,19,728,19,19,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.046383359,0.054664887,-0.000271937,0.007369603,-0.01981112,0.018523309,0.000133164,0.004264923,-0.037061986,0.037062313,1.11053E-05,0.021406868,0,0,0,0,0,0,1444,728,728,4,1051232,1051232,529984,0,529984,765296896,2.70%,2632448,290.7168142,54,905969664,84.47%,256,256,256,13824,84.47%,-4.64%,5,1,164,6,3,858783744,89.11%,728,256,164,13104,89.11%,11677.50391,0,0,0,0,0,0
122,exit.m1.1.conv2,ConvNd,"exit.m1.1.conv1.Filter, exit.m1.1.conv2.Parameter",1,728,19,19,728,19,19,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.06290324,0.100507624,-7.11917E-05,0.007711495,-0.023652589,0.026674392,0.000267876,0.00431783,-0.037062451,0.037062436,1.08681E-05,0.02138119,0,0,0,0,0,0,1444,728,728,4,1051232,1051232,529984,0,529984,765296896,2.70%,2632448,290.7168142,54,905969664,84.47%,256,256,256,13824,84.47%,-4.64%,5,1,164,6,3,858783744,89.11%,728,256,164,13104,89.11%,11677.50391,0,0,0,0,0,0
126,exit.m1.4.conv2,ConvNd,"exit.m1.4.conv1.Filter, exit.m1.4.conv2.Parameter",1,728,19,19,1024,19,19,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.131152719,0.09300866,-0.000357057,0.007955544,-0.026839387,0.029137442,-0.000230932,0.004541524,-0.037062272,0.037062366,1.65799E-05,0.021391931,0,0,0,0,0,0,1444,728,1024,4,1051232,1478656,745472,0,745472,1076461568,3.80%,3275360,328.6544282,72,1207959552,89.11%,256,256,256,18432,89.11%,-4.90%,5,1,164,6,4,1145044992,94.01%,728,256,164,17472,94.01%,16425.5,0,0,0,0,0,0
129,exit.res1.0,ConvNd,"exit.m1.0.Threshold, exit.res1.0.Parameter",1,728,19,19,1024,10,10,1,1,1,1,1,2,2,1,1,1,1,0,0,0,1,0,3.401634932,0.063521554,0.130909675,-0.916281462,0.924257338,0.0003078,0.080768228,-0.037062366,0.037062328,-8.81364E-06,0.021403642,0,0,0,0,0,0,400,728,1024,4,1051232,409600,745472,0,745472,298188800,1.05%,2206304,135.1530886,24,402653184,74.06%,256,256,256,6144,74.06%,-4.07%,1,1,144,2,4,381681664,78.13%,728,256,144,5824,78.13%,4550,0,0,0,0,0,0
133,exit.m2.0.conv2,ConvNd,"exit.m2.0.conv1.Filter, exit.m2.0.conv2.Parameter",1,1024,10,10,1536,10,10,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.128104404,0.198648274,0.000345077,0.013364247,-0.068156533,0.060261749,0.000103445,0.007684786,-0.031249996,0.031249912,-8.84088E-07,0.018039668,0,0,0,0,0,0,400,1024,1536,4,409600,614400,1572864,0,1572864,629145600,2.22%,2596864,242.2712934,48,805306368,78.13%,256,256,256,12288,78.13%,0.00%,1,1,144,2,6,805306368,78.13%,1024,256,144,12288,78.13%,9600,0,0,0,0,0,0
137,exit.m2.3.conv2,ConvNd,"exit.m2.3.conv1.Filter, exit.m2.3.conv2.Parameter",1,1536,10,10,2048,10,10,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.071782656,0.072565868,0.000190994,0.006929736,-0.028399173,0.025341077,3.30515E-05,0.003968899,-0.025515502,0.025515476,-1.26483E-05,0.014738426,0,0,0,0,0,0,400,1536,2048,4,614400,819200,3145728,0,3145728,1258291200,4.45%,4579328,274.7763864,96,1610612736,78.13%,256,256,256,24576,78.13%,0.00%,1,1,144,2,8,1610612736,78.13%,1536,256,144,24576,78.13%,19200,0,0,0,0,0,0
142,classifier,Linear,"classifier.View, classifier.Parameter, classifier.Parameter",1,2048,1,1,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0.000171999,0.294426739,0.089249478,0.057877119,-0.200578183,0.204716951,-0.001174579,0.064960893,0,0,0,0,-0.022071825,0.022095179,-0.000422936,0.012588156,1,0,4,2048,1000,4,8192,4000,0,1000,1000,0,0.00%,13192,0,32,536870912,0.00%,256,256,256,0,0.00%,0.00%,0,1,4,1,4,536870912,0.00%,2048,256,4,0,0.00%,0,0,0,0,0,0,0
