num,module,op,requires,B_mutiplier,C,H_I,W_I,K,H_O,W_O,T_I,T_O,kH,kW,kT,dH,dW,dT,dilationH,dilationW,dilationT,padH,padW,padT,groups,InputMinVal,InputMaxVal,InputMeanVal,InputStdVal,OutputMinVal,OutputMaxVal,OutputMeanVal,OutputStdVal,KernelMinVal,KernelMaxVal,KernelMeanVal,KernelStdVal,BiasMinVal,BiasMaxVal,BiasMeanVal,BiasStdVal,AddBias,isFilter,DimBHW,DimCFilterSquare,DimK,B,InputSize,OutputSize,Weights,Biases,Params,MACs,RATIO_MACs_TOTALMACs,MEM,RATIO_COMPUTE_MEM,SI_NumAccumSess,SI_ActualCompute,SI_CompUtil,SI_ClocksToComputeAccumSess,SI_ClocksToBringNewChunkOfB,SI_MMEClocksPerAccSession,SI_TotalMMEClocks,SI_LayerUtil,SI_IP_OP_diff,NumFullUOWH,NumPartialUOWH,HeightOfPartialUOW,NumUOWH,NumUOWW,ActualMACs,ComputeUtilization,ClocksToComputeUOW,ClocksToDumpFullUOW,ClocksToDumpPartialUOW,TotalMMEClocks,LayerUtil,IdealClocksNoSparsity,FilterClocks,PoolingOps,BatchNormOps,StochasticOps,NonLinearOps,AddOps
137,layer3.5.conv3,ConvNd,"layer3.5.relu.Threshold, layer3.5.conv3.Parameter",1,256,14,14,1024,14,14,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,7.552944183,0.360588465,0.604730703,-4.898674011,5.557201386,0.007549223,0.500990026,-0.200521588,0.228067651,8.66E-05,0.044289139,0,0,0,0,0,0,784,256,1024,4,200704,802816,262144,0,262144,205520896,1.26%,1265664,162.381877,16,268435456,76.56%,256,256,256,4096,76.56%,0.00%,3,1,16,4,4,268435456,76.56%,256,256,16,4096,76.56%,3136,0,0,0,0,0,0
141,layer4.0.conv1,ConvNd,"layer3.5.relu.Threshold, layer4.0.conv1.Parameter",1,1024,14,14,512,14,14,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,27.35708427,1.36730245,1.718003925,-38.60966873,32.74872971,0.214775525,4.319390204,-0.281853408,0.289666772,0.000140545,0.062498234,0,0,0,0,0,0,784,1024,512,4,802816,401408,524288,0,524288,411041792,2.51%,1728512,237.8009479,32,536870912,76.56%,256,256,256,8192,76.56%,0.00%,3,1,16,4,2,536870912,76.56%,1024,256,16,8192,76.56%,6272,0,0,0,0,0,0
144,layer4.0.conv2,ConvNd,"layer4.0.relu.Threshold, layer4.0.conv2.Parameter",1,512,14,14,512,7,7,1,1,3,3,1,2,2,1,1,1,1,1,1,0,1,0,7.973881245,0.356099306,0.616054416,-6.098620892,6.428205013,0.004141531,0.922833535,-0.095799044,0.100161701,1.65E-06,0.020821277,0,0,0,0,0,0,196,4608,512,4,401408,100352,2359296,0,2359296,462422016,2.83%,2861056,161.6263422,36,603979776,76.56%,256,256,256,9216,76.56%,0.00%,0,1,196,1,2,603979776,76.56%,4608,256,196,9216,76.56%,7056,0,0,0,0,0,0
147,layer4.0.conv3,ConvNd,"layer4.0.relu.Threshold, layer4.0.conv3.Parameter",1,512,7,7,2048,7,7,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,5.138120651,0.370483273,0.6044608,-3.510396481,3.445140839,0.00156793,0.500721817,-0.160731196,0.149479136,1.19E-05,0.031237029,0,0,0,0,0,0,196,512,2048,4,100352,401408,1048576,0,1048576,205520896,1.26%,1550336,132.5653897,16,268435456,76.56%,256,256,256,4096,76.56%,0.00%,0,1,196,1,8,268435456,76.56%,512,256,196,4096,76.56%,3136,0,0,0,0,0,0
149,layer4.0.downsample.0,ConvNd,"layer3.5.relu.Threshold, layer4.0.downsample.0.Parameter",1,1024,14,14,2048,7,7,1,1,1,1,1,2,2,1,1,1,1,0,0,0,1,0,27.35708427,1.36730245,1.718003925,-19.83296013,20.32906342,-0.035135161,2.253576346,-0.147332162,0.174301937,-2.58E-05,0.031240845,0,0,0,0,0,0,196,1024,2048,4,802816,401408,2097152,0,2097152,411041792,2.51%,3301376,124.5062035,32,536870912,76.56%,256,256,256,8192,76.56%,0.00%,0,1,196,1,8,536870912,76.56%,1024,256,196,8192,76.56%,6272,0,0,0,0,0,0
153,layer4.1.conv1,ConvNd,"layer4.0.relu.Threshold, layer4.1.conv1.Parameter",1,2048,7,7,512,7,7,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,9.430761337,0.516018524,0.85853249,-18.34417915,18.84696198,-0.022861382,2.806085621,-0.300688058,0.293654829,-3.38E-05,0.062486075,0,0,0,0,0,0,196,2048,512,4,401408,100352,1048576,0,1048576,205520896,1.26%,1550336,132.5653897,16,268435456,76.56%,256,256,256,4096,76.56%,0.00%,0,1,196,1,2,268435456,76.56%,2048,256,196,4096,76.56%,3136,0,0,0,0,0,0
156,layer4.1.conv2,ConvNd,"layer4.1.relu.Threshold, layer4.1.conv2.Parameter",1,512,7,7,512,7,7,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,5.522838116,0.367871835,0.605894815,-4.510746479,4.834273815,0.000915424,0.83357165,-0.099072143,0.105280086,-4.06E-07,0.020837826,0,0,0,0,0,0,196,4608,512,4,100352,100352,2359296,0,2359296,462422016,2.83%,2560000,180.6336,36,603979776,76.56%,256,256,256,9216,76.56%,0.00%,0,1,196,1,2,603979776,76.56%,4608,256,196,9216,76.56%,7056,0,0,0,0,0,0
159,layer4.1.conv3,ConvNd,"layer4.1.relu.Threshold, layer4.1.conv3.Parameter",1,512,7,7,2048,7,7,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,5.009385109,0.383987326,0.589723325,-3.063971043,3.552378178,0.008325854,0.501146622,-0.14838621,0.144846678,4.18E-05,0.031252309,0,0,0,0,0,0,196,512,2048,4,100352,401408,1048576,0,1048576,205520896,1.26%,1550336,132.5653897,16,268435456,76.56%,256,256,256,4096,76.56%,0.00%,0,1,196,1,8,268435456,76.56%,512,256,196,4096,76.56%,3136,0,0,0,0,0,0
163,layer4.2.conv1,ConvNd,"layer4.1.relu.Threshold, layer4.2.conv1.Parameter",1,2048,7,7,512,7,7,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,12.16768169,0.774788679,1.050366143,-24.06947517,23.90630531,-0.116647347,3.678133711,-0.280788124,0.2952905,-8.47E-05,0.062562549,0,0,0,0,0,0,196,2048,512,4,401408,100352,1048576,0,1048576,205520896,1.26%,1550336,132.5653897,16,268435456,76.56%,256,256,256,4096,76.56%,0.00%,0,1,196,1,2,268435456,76.56%,2048,256,196,4096,76.56%,3136,0,0,0,0,0,0
166,layer4.2.conv2,ConvNd,"layer4.2.relu.Threshold, layer4.2.conv2.Parameter",1,512,7,7,512,7,7,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,5.193575382,0.376605671,0.599186654,-6.816736698,4.649412155,-0.043440397,0.870358241,-0.099089898,0.10148862,-3.60E-05,0.020836048,0,0,0,0,0,0,196,4608,512,4,100352,100352,2359296,0,2359296,462422016,2.83%,2560000,180.6336,36,603979776,76.56%,256,256,256,9216,76.56%,0.00%,0,1,196,1,2,603979776,76.56%,4608,256,196,9216,76.56%,7056,0,0,0,0,0,0
169,layer4.2.conv3,ConvNd,"layer4.2.relu.Threshold, layer4.2.conv3.Parameter",1,512,7,7,2048,7,7,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,4.849001408,0.38810502,0.585363056,-3.375056028,2.832887888,-0.001109634,0.496302768,-0.155969515,0.143647864,-3.32E-06,0.031217939,0,0,0,0,0,0,196,512,2048,4,100352,401408,1048576,0,1048576,205520896,1.26%,1550336,132.5653897,16,268435456,76.56%,256,256,256,4096,76.56%,0.00%,0,1,196,1,8,268435456,76.56%,512,256,196,4096,76.56%,3136,0,0,0,0,0,0
175,fc,Linear,"fc.View, fc.Parameter, fc.Parameter",1,2048,1,1,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0.633528352,1.32197535,0.989758288,0.086320995,-1.608134747,1.740262151,-0.035310626,0.552929603,0,0,0,0,-0.022086563,0.022086471,0.000105135,0.013177818,1,0,4,2048,1000,4,8192,4000,0,1000,1000,0,0.00%,13192,0,32,536870912,0.00%,256,256,256,0,0.00%,0.00%,0,1,4,1,4,536870912,0.00%,2048,256,4,0,0.00%,0,0,0,0,0,0,0
